item	word.1	word.2	verb	gloss.1	gloss.2	gloss.verb	tone.1	tone.2	bitone	sent.kiy	sent.eng
53	kE	nO	kwiya	ant	meat	carries	T1	T2	T1.T2	kE nO kwiya.	The ant carries the meat.
54	kE	fO	kwiya	ant	wallaby	carries	T1	T3	T1.T3	kE fO kwiya.	The ant carries the wallaby.
55	kE	fO	kwiya	ant	honeybee	carries	T1	T3	T1.T3	kE fO kwiya.	The ant carries the honeybee.
56	kE	ya	kwiya	ant	mother	carries	T1	T5	T1.T5	kE ya kwiya.	The ant carries the mother.
57	kE	fa	kwiya	ant	sago.grub	carries	T1	T5	T1.T5	kE fa kwiya.	The ant carries the sago.grub.
58	ndE	kE	kwiya	centipede	ant	carries	T1	T1	T1.T1	ndE kE kwiya.	The centipede carries the ant.
59	ndE	fa	kwiya	centipede	younger.sibling	carries	T1	T2	T1.T2	ndE fa kwiya.	The centipede carries the younger.sibling.
60	ndE	nO	kwiya	centipede	meat	carries	T1	T2	T1.T2	ndE nO kwiya.	The centipede carries the meat.
61	ndE	fO	kwiya	centipede	wallaby	carries	T1	T3	T1.T3	ndE fO kwiya.	The centipede carries the wallaby.
62	ndE	fO	kwiya	centipede	honeybee	carries	T1	T3	T1.T3	ndE fO kwiya.	The centipede carries the honeybee.
63	ndE	ya	kwiya	centipede	mother	carries	T1	T5	T1.T5	ndE ya kwiya.	The centipede carries the mother.
64	ndE	fa	kwiya	centipede	sago.grub	carries	T1	T5	T1.T5	ndE fa kwiya.	The centipede carries the sago.grub.
65	fa	kE	kwiya	younger.sibling	ant	carries	T2	T1	T2.T1	fa kE kwiya.	The younger.sibling carries the ant.
66	fa	ndE	kwiya	younger.sibling	centipede	carries	T2	T1	T2.T1	fa ndE kwiya.	The younger.sibling carries the centipede.
67	fa	fa	kwiya	younger.sibling	younger.sibling	carries	T2	T2	T2.T2	fa fa kwiya.	The younger.sibling carries the younger.sibling.
68	fa	nO	kwiya	younger.sibling	meat	carries	T2	T2	T2.T2	fa nO kwiya.	The younger.sibling carries the meat.
69	fa	fO	kwiya	younger.sibling	wallaby	carries	T2	T3	T2.T3	fa fO kwiya.	The younger.sibling carries the wallaby.
70	fa	fO	kwiya	younger.sibling	honeybee	carries	T2	T3	T2.T3	fa fO kwiya.	The younger.sibling carries the honeybee.
71	fa	ya	kwiya	younger.sibling	mother	carries	T2	T5	T2.T5	fa ya kwiya.	The younger.sibling carries the mother.
72	fa	fa	kwiya	younger.sibling	sago.grub	carries	T2	T5	T2.T5	fa fa kwiya.	The younger.sibling carries the sago.grub.
73	fO	kE	kwiya	wallaby	ant	carries	T3	T1	T3.T1	fO kE kwiya.	The wallaby carries the ant.
74	fO	ndE	kwiya	wallaby	centipede	carries	T3	T1	T3.T1	fO ndE kwiya.	The wallaby carries the centipede.
75	fO	fa	kwiya	wallaby	younger.sibling	carries	T3	T2	T3.T2	fO fa kwiya.	The wallaby carries the younger.sibling.
76	fO	nO	kwiya	wallaby	meat	carries	T3	T2	T3.T2	fO nO kwiya.	The wallaby carries the meat.
77	fO	fO	kwiya	wallaby	honeybee	carries	T3	T3	T3.T3	fO fO kwiya.	The wallaby carries the honeybee.
78	fO	ya	kwiya	wallaby	mother	carries	T3	T5	T3.T5	fO ya kwiya.	The wallaby carries the mother.
79	fO	fa	kwiya	wallaby	sago.grub	carries	T3	T5	T3.T5	fO fa kwiya.	The wallaby carries the sago.grub.
80	fO	kE	kwiya	honeybee	ant	carries	T3	T1	T3.T1	fO kE kwiya.	The honeybee carries the ant.
81	fO	ndE	kwiya	honeybee	centipede	carries	T3	T1	T3.T1	fO ndE kwiya.	The honeybee carries the centipede.
82	fO	fa	kwiya	honeybee	younger.sibling	carries	T3	T2	T3.T2	fO fa kwiya.	The honeybee carries the younger.sibling.
83	fO	nO	kwiya	honeybee	meat	carries	T3	T2	T3.T2	fO nO kwiya.	The honeybee carries the meat.
84	fO	fO	kwiya	honeybee	wallaby	carries	T3	T3	T3.T3	fO fO kwiya.	The honeybee carries the wallaby.
85	fO	ya	kwiya	honeybee	mother	carries	T3	T5	T3.T5	fO ya kwiya.	The honeybee carries the mother.
86	fO	fa	kwiya	honeybee	sago.grub	carries	T3	T5	T3.T5	fO fa kwiya.	The honeybee carries the sago.grub.
87	ya	kE	kwiya	mother	ant	carries	T5	T1	T5.T1	ya kE kwiya.	The mother carries the ant.
88	ya	ndE	kwiya	mother	centipede	carries	T5	T1	T5.T1	ya ndE kwiya.	The mother carries the centipede.
89	ya	fa	kwiya	mother	younger.sibling	carries	T5	T2	T5.T2	ya fa kwiya.	The mother carries the younger.sibling.
90	ya	nO	kwiya	mother	meat	carries	T5	T2	T5.T2	ya nO kwiya.	The mother carries the meat.
91	ya	fO	kwiya	mother	wallaby	carries	T5	T3	T5.T3	ya fO kwiya.	The mother carries the wallaby.
92	ya	fO	kwiya	mother	honeybee	carries	T5	T3	T5.T3	ya fO kwiya.	The mother carries the honeybee.
93	ya	fa	kwiya	mother	sago.grub	carries	T5	T5	T5.T5	ya fa kwiya.	The mother carries the sago.grub.
94	fa	kE	kwiya	sago.grub	ant	carries	T5	T1	T5.T1	fa kE kwiya.	The sago.grub carries the ant.
95	fa	ndE	kwiya	sago.grub	centipede	carries	T5	T1	T5.T1	fa ndE kwiya.	The sago.grub carries the centipede.
96	fa	fa	kwiya	sago.grub	younger.sibling	carries	T5	T2	T5.T2	fa fa kwiya.	The sago.grub carries the younger.sibling.
97	fa	nO	kwiya	sago.grub	meat	carries	T5	T2	T5.T2	fa nO kwiya.	The sago.grub carries the meat.
98	fa	fO	kwiya	sago.grub	wallaby	carries	T5	T3	T5.T3	fa fO kwiya.	The sago.grub carries the wallaby.
99	fa	fO	kwiya	sago.grub	honeybee	carries	T5	T3	T5.T3	fa fO kwiya.	The sago.grub carries the honeybee.
100	fa	ya	kwiya	sago.grub	mother	carries	T5	T5	T5.T5	fa ya kwiya.	The sago.grub carries the mother.
