filename	w1.start	w1.end	w2.start	w2.end
20111213-1-kiy-ap-framedwordlist-1.TextGrid	0.06490625 	0.40980078124999997 	0.40980078124999997 	0.7740982142857143 
20111213-1-kiy-ap-framedwordlist-10.TextGrid	0.07383125 	0.3739655137540453 	0.3739655137540453 	0.74858875 
20111213-1-kiy-ap-framedwordlist-11.TextGrid	0.08175625 	0.3483029891304348 	0.3483029891304348 	0.7753906250000001 
20111213-1-kiy-ap-framedwordlist-12.TextGrid	0.05928125 	0.32325760135135134 	0.32325760135135134 	0.727625 
20111213-1-kiy-ap-framedwordlist-13.TextGrid	0.013296875 	0.2486919642857143 	0.2486919642857143 	0.7118090277777779 
20111213-1-kiy-ap-framedwordlist-14.TextGrid	0.10740625 	0.38929282407407406 	0.38929282407407406 	0.7960720108695652 
20111213-1-kiy-ap-framedwordlist-15.TextGrid	0.06732812499999999 	0.3343760080645161 	0.3343760080645161 	0.8041 
20111213-1-kiy-ap-framedwordlist-16.TextGrid	0.08332291666666666 	0.3854875 	0.3854875 	0.8547500000000001 
20111213-1-kiy-ap-framedwordlist-17.TextGrid	0.08646875 	0.3486755514705882 	0.3486755514705882 	0.802202445652174 
20111213-1-kiy-ap-framedwordlist-18.TextGrid	0.018387867647058822 	0.29615231299212597 	0.29615231299212597 	0.7316964285714286 
20111213-1-kiy-ap-framedwordlist-19.TextGrid	0.091 	0.36123055555555555 	0.36123055555555555 	0.8374166666666667 
20111213-1-kiy-ap-framedwordlist-2.TextGrid	0.21684375 	0.5398705357142858 	0.5398705357142858 	0.9020781250000001 
20111213-1-kiy-ap-framedwordlist-20.TextGrid	0.09671874999999999 	0.3317098917322835 	0.3317098917322835 	0.7997736742424243 
20111213-1-kiy-ap-framedwordlist-21.TextGrid	0.09241666666666666 	0.3758035714285714 	0.3758035714285714 	0.7232357954545455 
20111213-1-kiy-ap-framedwordlist-22.TextGrid	0.075859375 	0.37417641129032253 	0.37417641129032253 	0.7791718750000001 
20111213-1-kiy-ap-framedwordlist-23.TextGrid	0.04431875 	0.34814903846153844 	0.34814903846153844 	0.7216903409090909 
20111213-1-kiy-ap-framedwordlist-24.TextGrid	0.06378125 	0.38224488636363635 	0.38224488636363635 	0.7858731617647059 
20111213-1-kiy-ap-framedwordlist-25.TextGrid	0.09280624999999999 	0.3852661637931034 	0.3852661637931034 	0.847315340909091 
20111213-1-kiy-ap-framedwordlist-3.TextGrid	0.06559374999999999 	0.3624095394736842 	0.3624095394736842 	0.702984375 
20111213-1-kiy-ap-framedwordlist-4.TextGrid	0.09151041666666666 	0.4139970238095238 	0.4139970238095238 	0.7496312500000001 
20111213-1-kiy-ap-framedwordlist-5.TextGrid	0.09267708333333333 	0.3582734375 	0.3582734375 	0.73365625 
20111213-1-kiy-ap-framedwordlist-6.TextGrid	0.07158333333333333 	0.3628125 	0.3628125 	0.75979375 
20111213-1-kiy-ap-framedwordlist-7.TextGrid	0.08574999999999999 	0.39405379098360654 	0.39405379098360654 	0.7410767045454546 
20111213-1-kiy-ap-framedwordlist-8.TextGrid	0.028703125000000003 	0.32972398127753305 	0.32972398127753305 	0.6873611111111112 
20111213-1-kiy-ap-framedwordlist-9.TextGrid	0.08584375 	0.3888635800283286 	0.3888635800283286 	0.7423807870370371 
